index;Name;Code;SMILES
0;1,3-diphenyl-1H-imidazol-3-ium-2-ide ;PHEN;[*]C1=C([*])C([*])=C(N2C([*])=C([*])N(C3=C([*])C([*])=C([*])C([*])=C3[*])[C]2)C([*])=C1[*] |$Q;;;R2;;R4;;;;R5;;R5;;;;R4;;R2;;Q;;R1;;R3;;;R3;;R1$|
1;benzene;BENZ;[*]C1=C([*])C([*])=C([*])C([*])=C1[*] |$Q;;;R2;;R1;;Q;;R2;;R1$|
2;hydrazine;HDZN;[*][*] |$Q;Q$|
3;1,3-di(pyridin-2-yl)-1H-imidazol-3-ium-2-ide;PYEN;[*]C1=C([*])N=C(N2C([*])=C([*])N(C3=NC([*])=C([*])C([*])=C3[*])[C]2)C([*])=C1[*] |$Q;;;R2;;;;;R4;;R4;;;;;R2;;Q;;R1;;R3;;;R3;;R1$|
4;indeno[1,2-b]fluorene;INFL;[*]C1=C([*])C2=C(C([*])=C1[*])C3=C([*])C4=C([*])C5=C(C([*])=C([*])C([*])=C5[*])C4=C([*])C3=C2[*] |$Q;;;R2;;;;R3;;R1;;;R5;;;R4;;;;R3;;R1;;Q;;R2;;;R5;;;R4$|
5;naphthalene;NAPT;[*]C1=C([*])C([*])=C2C(C([*])=C([*])C([*])=C2[*])=C1[*] |$Q;;;R3;;R2;;;;R2;;R3;;Q;;R1;;R1$|
6;3a,7a-dihydroanthra[2,1,9-def:6,5,10-d'e'f']diisochromene-1,3,8,10-tetraone;PTCD;O=C([*]C1=O)C2=C(C1C([*])=C3[*])C4=C3C(C([*])=C([*])C5C([*]C6=O)=O)=C(C5=C6C([*])=C7[*])C7=C4C([*])=C2[*] |$;;Q;;;;;;;R1;;R3;;;;;R4;;R2;;;Q;;;;;;;;R1;;R3;;;;R4;;R2$|
7;4a,10b-dihydro-s-indaceno[1,2-b:5,6-b']dithiophene;4IDT;[*]C1=C([*])C2=C([*])C3C(C2S1)=C([*])C4=C([*])C5=C(SC([*])=C5[*])C4=C3[*] |$Q;;;R1;;;R2;;;;;;R3;;;R2;;;;;Q;;R1;;;R3$|
8;benzo[1,2-d:4,5-d']bis(thiazole);BBTZ;[*]C(S1)=NC2=C1C([*])=C(N=C([*])S3)C3=C2[*] |$Q;;;;;;;R1;;;;Q;;;;R1$|
9;(E)-1,2-diphenylethene;DPEL;[*]C(C([*])=C1[*])=C([*])C([*])=C1/C=C/C2=C([*])C([*])=C([*])C([*])=C2[*] |$Q;;;R4;;R2;;R1;;R3;;;;;;R2;;R4;;Q;;R1;;R3$|
