      Step     Time          Energy          fmax
BFGS:    0 18:49:09   -13913.417554       33.262269
BFGS:    1 18:49:35   -13822.168548     1257.499960
BFGS:    2 18:50:03   -13822.447537      624.208917
BFGS:    3 18:50:35   -13736.411210     1338.722394
BFGS:    4 18:50:56   -13813.140107     1141.061087
BFGS:    5 18:51:41   -13498.116454     2248.149328
      Step     Time          Energy          fmax
BFGS:    0 18:53:23   -13957.568914       36.064831
BFGS:    1 18:53:40   -13773.564983     1413.911585
BFGS:    2 18:53:54   -13828.768362     1019.584247
BFGS:    3 18:54:05   -13851.171142      447.688572
BFGS:    4 18:54:15   -13903.802552      559.241680
BFGS:    5 18:54:29   -13766.326437     1428.201622
BFGS:    6 18:54:48   -13789.725640     1008.228664
BFGS:    7 18:55:08   -13879.983705      558.453495
BFGS:    8 18:55:25   -13884.717640      432.144086
BFGS:    9 18:55:39   -13954.039529      291.369984
BFGS:   10 18:55:51   -13968.611613       69.367833
BFGS:   11 18:56:00   -13972.854975       30.277656
BFGS:   12 18:56:08   -13973.824615       28.151165
BFGS:   13 18:56:17   -13974.706296       13.803202
BFGS:   14 18:56:25   -13975.947121       13.612140
BFGS:   15 18:56:33   -13976.512766       18.497646
      Step     Time          Energy          fmax
BFGS:    0 19:08:31   -15386.589080      149.651696
BFGS:    1 19:08:35   -14633.168027     3997.606123
BFGS:    2 19:08:40   -15371.434417      242.176588
BFGS:    3 19:08:44   -15387.875495       74.039410
BFGS:    4 19:08:48   -15390.338680        8.010130
BFGS:    5 19:08:52   -15390.246844       10.222364
BFGS:    6 19:08:56   -15390.697377        9.819279
BFGS:    7 19:09:10   -15235.826995     1281.342316
BFGS:    8 19:09:16   -15390.808159       17.978995
BFGS:    9 19:09:33   -15071.233773     2038.737581
BFGS:   10 19:09:39   -15390.933431        7.492504
BFGS:   11 19:09:43   -15390.989418        5.035725
BFGS:   12 19:09:47   -15391.130822       11.693113
BFGS:   13 19:09:51   -15391.187317       21.282831
